Year,Units,Series,Time series,Kategorie der letzten Verwendung,Rohstoffkategorie,Value
2019,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,Biotische Rohstoffe,185.0
2020,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,Biotische Rohstoffe,191.0
2021,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,Biotische Rohstoffe,192.0
2010,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Konsum und Investitionen,Fossile Energieträger,368.0
2011,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Konsum und Investitionen,Fossile Energieträger,377.0
2012,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Konsum und Investitionen,Fossile Energieträger,364.0
2013,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Konsum und Investitionen,Fossile Energieträger,372.0
2014,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Konsum und Investitionen,Fossile Energieträger,360.0
2015,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Konsum und Investitionen,Fossile Energieträger,354.0
2016,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Konsum und Investitionen,Fossile Energieträger,346.0
2017,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Konsum und Investitionen,Fossile Energieträger,353.0
2018,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Konsum und Investitionen,Fossile Energieträger,345.0
2019,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Konsum und Investitionen,Fossile Energieträger,329.0
2020,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Konsum und Investitionen,Fossile Energieträger,289.0
2021,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Konsum und Investitionen,Fossile Energieträger,311.0
2010,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Konsum und Investitionen,Erze,127.0
2011,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Konsum und Investitionen,Erze,157.0
